game,overall_score,rating,arch_score,maintain_score,test_score,docs_score,robust_score,mbt_files,moonpkg_files,mbti_files,total_lines,non_empty_lines,fn_count,documented_fn_count,doc_fn_ratio,max_file_lines,max_file_path,max_fn_lines,max_fn_name,max_fn_file,long_fn_count_80,long_fn_count_120,if_count,match_count,for_count,while_count,branch_density,clamp_count,test_files,doctest_blocks,has_readme,has_arch,has_triads,old_style_loops,large_file_count,recommendations
asteroid_salvage_2026,67,Fair,20,25,0,11,11,7,4,4,615,564,14,14,1.0,144,asteroid_salvage_2026/internal/types/utils.mbt,53,"fn @types.Game::update_ship(game : @types.Game, dt : Float) -> Unit {",asteroid_salvage_2026/internal/game/input.mbt,0,0,39,4,20,1,3.0714285714285716,0,0,0,True,False,True,0,0,Add at least one smoke test (README.mbt.md doctest or *_test.mbt)
audio_mixed_processor,53,Needs Attention,6,25,0,11,11,1,1,1,107,101,2,2,1.0,107,audio_mixed_processor/main.mbt,65,fn main {,audio_mixed_processor/main.mbt,0,0,7,0,3,1,3.5,0,0,0,True,False,False,0,0,Add at least one smoke test (README.mbt.md doctest or *_test.mbt)
audio_module_playing,44,Needs Attention,6,18,0,11,9,1,1,1,191,164,1,1,1.0,191,audio_module_playing/main.mbt,190,fn main {,audio_module_playing/main.mbt,1,1,8,0,5,1,8.0,0,0,0,True,False,False,0,0,Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `audio_module_playing/main.mbt` (max ~190 lines)
audio_music_stream,51,Needs Attention,6,23,0,11,11,1,1,1,80,67,1,1,1.0,80,audio_music_stream/main.mbt,79,fn main {,audio_music_stream/main.mbt,0,0,4,0,1,1,4.0,0,0,0,True,False,False,0,0,Add at least one smoke test (README.mbt.md doctest or *_test.mbt)
audio_raw_stream,46,Needs Attention,6,20,0,11,9,1,1,1,134,111,1,1,1.0,134,audio_raw_stream/main.mbt,130,fn main {,audio_raw_stream/main.mbt,1,1,7,0,6,2,7.0,0,0,0,True,False,False,0,0,Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `audio_raw_stream/main.mbt` (max ~130 lines)
audio_sound_loading,53,Needs Attention,6,25,0,11,11,1,1,1,47,39,1,1,1.0,47,audio_sound_loading/main.mbt,46,fn main {,audio_sound_loading/main.mbt,0,0,2,0,0,1,2.0,0,0,0,True,False,False,0,0,Add at least one smoke test (README.mbt.md doctest or *_test.mbt)
audio_sound_multi,53,Needs Attention,6,25,0,11,11,1,1,1,57,49,1,1,1.0,57,audio_sound_multi/main.mbt,56,fn main {,audio_sound_multi/main.mbt,0,0,2,0,2,1,2.0,0,0,0,True,False,False,0,0,Add at least one smoke test (README.mbt.md doctest or *_test.mbt)
audio_stream_effects,51,Needs Attention,6,23,0,11,11,1,1,1,178,166,3,3,1.0,178,audio_stream_effects/main.mbt,96,fn main {,audio_stream_effects/main.mbt,1,0,12,0,3,1,4.0,0,0,0,True,False,False,0,0,Add at least one smoke test (README.mbt.md doctest or *_test.mbt)
auto_chess_micro_2026,41,Needs Attention,4,19,0,11,7,1,1,1,461,422,13,13,1.0,461,auto_chess_micro_2026/main.mbt,269,fn main {,auto_chess_micro_2026/main.mbt,1,1,45,5,21,1,3.8461538461538463,0,0,0,True,False,False,0,1,Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `auto_chess_micro_2026/main.mbt` (max ~269 lines)
bamboo_forest_sentinel_2026,60,Fair,17,21,0,11,11,7,4,4,2237,1960,47,47,1.0,812,bamboo_forest_sentinel_2026/internal/game/logic.mbt,144,fn @types.Game::draw_hud(game : @types.Game) -> Unit {,bamboo_forest_sentinel_2026/internal/render/render.mbt,1,1,107,9,108,1,2.4680851063829787,31,0,0,True,False,True,0,2,Add ARCHITECTURE.md documenting package boundaries and update flow | Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `bamboo_forest_sentinel_2026/internal/render/render.mbt` (max ~144 lines)
battle_kart_arena_2026,41,Needs Attention,2,19,0,11,9,1,1,1,1112,1014,20,20,1.0,1112,battle_kart_arena_2026/main.mbt,657,fn main {,battle_kart_arena_2026/main.mbt,1,1,87,0,17,1,4.35,2,0,0,True,False,False,0,1,Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `battle_kart_arena_2026/main.mbt` (max ~657 lines)
bomber_grid_2026,40,Needs Attention,4,18,0,11,7,1,1,1,470,424,8,8,1.0,470,bomber_grid_2026/main.mbt,258,fn main {,bomber_grid_2026/main.mbt,1,1,51,1,18,1,6.5,0,0,0,True,False,False,0,1,Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `bomber_grid_2026/main.mbt` (max ~258 lines)
bomberman_1983_lite,53,Needs Attention,16,19,0,11,7,21,8,8,6258,5900,105,105,1.0,1247,bomberman_1983_lite/internal/levels/profiles.mbt,977,fn get_stage_profile_extended(index : Int) -> @types.StageProfile {,bomberman_1983_lite/internal/levels/profiles.mbt,6,4,315,32,120,1,3.3047619047619046,18,0,0,True,False,True,0,5,Add ARCHITECTURE.md documenting package boundaries and update flow | Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `bomberman_1983_lite/internal/levels/profiles.mbt` (max ~977 lines) | Break large files (>300 LOC) into feature-focused modules
bowling_alley_2026,60,Fair,17,21,0,11,11,8,4,4,2361,2105,48,48,1.0,891,bowling_alley_2026/internal/render/render.mbt,140,"fn @types.Game::update_play_input(game : @types.Game, dt : Float) -> Unit {",bowling_alley_2026/internal/game/input.mbt,8,2,132,7,40,2,2.8958333333333335,4,0,0,True,False,True,0,2,Add ARCHITECTURE.md documenting package boundaries and update flow | Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `bowling_alley_2026/internal/game/input.mbt` (max ~140 lines)
breakout_lab_2026,41,Needs Attention,5,18,0,11,7,1,1,1,321,282,5,5,1.0,321,breakout_lab_2026/main.mbt,237,fn main {,breakout_lab_2026/main.mbt,1,1,29,1,9,1,6.0,0,0,0,True,False,False,0,1,Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `breakout_lab_2026/main.mbt` (max ~237 lines)
candy_crush_2026,58,Fair,17,19,0,11,11,7,4,4,2068,1841,48,47,0.9791666666666666,780,candy_crush_2026/internal/game/logic.mbt,156,fn @types.Game::draw_side_panel(game : @types.Game) -> Unit {,candy_crush_2026/internal/render/render.mbt,4,1,129,15,44,18,3.0,14,0,0,True,False,True,0,2,Add ARCHITECTURE.md documenting package boundaries and update flow | Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `candy_crush_2026/internal/render/render.mbt` (max ~156 lines)
card_duel_2026,42,Needs Attention,5,19,0,11,7,1,1,1,322,293,7,7,1.0,322,card_duel_2026/main.mbt,211,fn main {,card_duel_2026/main.mbt,1,1,18,4,9,1,3.142857142857143,0,0,0,True,False,False,0,1,Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `card_duel_2026/main.mbt` (max ~211 lines)
castle_siege_artillery_2026,44,Needs Attention,3,19,0,11,11,1,1,1,748,676,10,10,1.0,748,castle_siege_artillery_2026/main.mbt,608,fn main {,castle_siege_artillery_2026/main.mbt,1,1,46,0,6,1,4.6,4,0,0,True,False,False,0,1,Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `castle_siege_artillery_2026/main.mbt` (max ~608 lines)
celestial_kite_festival_2026,59,Fair,16,21,0,11,11,7,4,4,3273,2937,74,74,1.0,1270,celestial_kite_festival_2026/internal/render/render.mbt,136,fn @types.Game::draw_hud(game : @types.Game) -> Unit {,celestial_kite_festival_2026/internal/render/render.mbt,8,1,101,14,111,1,1.554054054054054,28,0,0,True,False,True,0,2,Add ARCHITECTURE.md documenting package boundaries and update flow | Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `celestial_kite_festival_2026/internal/render/render.mbt` (max ~136 lines)
chef_rush_2026,41,Needs Attention,5,18,0,11,7,1,1,1,386,347,7,7,1.0,386,chef_rush_2026/main.mbt,288,fn main {,chef_rush_2026/main.mbt,1,1,37,0,8,1,5.285714285714286,0,0,0,True,False,False,0,1,Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `chef_rush_2026/main.mbt` (max ~288 lines)
chrono_rail_shooter_2026,42,Needs Attention,2,18,0,11,11,1,1,1,2157,1974,19,19,1.0,2157,chrono_rail_shooter_2026/main.mbt,1538,fn main {,chrono_rail_shooter_2026/main.mbt,2,2,145,0,31,2,7.631578947368421,18,0,0,True,False,False,0,1,Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `chrono_rail_shooter_2026/main.mbt` (max ~1538 lines)
circuit_grid_operator_2026,41,Needs Attention,2,19,0,11,9,1,1,1,1955,1776,37,36,0.972972972972973,1955,circuit_grid_operator_2026/main.mbt,613,fn reset_run() -> Unit {,circuit_grid_operator_2026/main.mbt,5,3,149,0,41,5,4.027027027027027,11,0,0,True,False,False,0,1,Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `circuit_grid_operator_2026/main.mbt` (max ~613 lines)
city_builder_mini_2026,44,Needs Attention,5,19,0,11,9,1,1,1,321,287,8,8,1.0,321,city_builder_mini_2026/main.mbt,214,fn main {,city_builder_mini_2026/main.mbt,1,1,31,3,12,1,4.25,2,0,0,True,False,False,0,1,Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `city_builder_mini_2026/main.mbt` (max ~214 lines)
city_crossing_2026,44,Needs Attention,3,19,0,11,11,1,1,1,709,646,14,14,1.0,709,city_crossing_2026/main.mbt,504,fn main {,city_crossing_2026/main.mbt,1,1,55,0,18,1,3.9285714285714284,3,0,0,True,False,False,0,1,Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `city_crossing_2026/main.mbt` (max ~504 lines)
clocktower_heist_2026,42,Needs Attention,2,18,0,11,11,1,1,1,1686,1533,19,19,1.0,1686,clocktower_heist_2026/main.mbt,1202,fn main {,clocktower_heist_2026/main.mbt,1,1,143,0,23,1,7.526315789473684,7,0,0,True,False,False,0,1,Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `clocktower_heist_2026/main.mbt` (max ~1202 lines)
clockwork_city_chase_2026,53,Needs Attention,16,19,0,11,7,7,4,4,3725,3360,77,77,1.0,1338,clockwork_city_chase_2026/internal/render/render.mbt,173,fn @types.Game::draw_hud(game : @types.Game) -> Unit {,clockwork_city_chase_2026/internal/render/render.mbt,8,3,130,14,128,6,1.87012987012987,30,0,0,True,False,True,0,3,Add ARCHITECTURE.md documenting package boundaries and update flow | Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `clockwork_city_chase_2026/internal/render/render.mbt` (max ~173 lines) | Break large files (>300 LOC) into feature-focused modules
clockwork_train_heist_2026,57,Fair,16,19,0,11,11,7,4,4,2747,2397,61,61,1.0,1090,clockwork_train_heist_2026/internal/game/logic.mbt,193,fn @types.Game::draw_panel(game : @types.Game) -> Unit {,clockwork_train_heist_2026/internal/render/render.mbt,6,1,138,13,61,1,2.4754098360655736,7,0,0,True,False,True,0,2,Add ARCHITECTURE.md documenting package boundaries and update flow | Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `clockwork_train_heist_2026/internal/render/render.mbt` (max ~193 lines)
contra_1987_lite,53,Needs Attention,16,19,0,11,7,19,8,8,6217,5848,106,106,1.0,1159,contra_1987_lite/internal/levels/profiles.mbt,203,fn @types.Game::draw_panel(game : @types.Game) -> Unit {,contra_1987_lite/internal/render/render_ui.mbt,4,3,317,30,116,2,3.2735849056603774,21,0,0,True,False,True,0,7,Add ARCHITECTURE.md documenting package boundaries and update flow | Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `contra_1987_lite/internal/render/render_ui.mbt` (max ~203 lines) | Break large files (>300 LOC) into feature-focused modules
core_2d_camera,42,Needs Attention,6,16,0,11,9,1,1,1,172,150,1,1,1.0,172,core_2d_camera/main.mbt,171,fn main {,core_2d_camera/main.mbt,1,1,9,0,2,1,9.0,0,0,0,True,False,False,0,0,Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `core_2d_camera/main.mbt` (max ~171 lines)
core_2d_camera_mouse_zoom,40,Needs Attention,6,14,0,11,9,1,1,1,168,154,1,1,1.0,168,core_2d_camera_mouse_zoom/main.mbt,167,fn main {,core_2d_camera_mouse_zoom/main.mbt,1,1,18,1,1,1,19.0,0,0,0,True,False,False,0,0,Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `core_2d_camera_mouse_zoom/main.mbt` (max ~167 lines)
core_2d_camera_platformer,43,Needs Attention,4,19,0,11,9,1,1,1,460,429,7,7,1.0,460,core_2d_camera_platformer/main.mbt,187,fn main {,core_2d_camera_platformer/main.mbt,1,1,32,0,4,1,4.571428571428571,1,0,0,True,False,False,0,1,Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `core_2d_camera_platformer/main.mbt` (max ~187 lines)
core_2d_camera_split_screen,43,Needs Attention,5,18,0,11,9,1,1,1,263,245,1,1,1.0,263,core_2d_camera_split_screen/main.mbt,262,fn main {,core_2d_camera_split_screen/main.mbt,1,1,8,0,9,1,8.0,0,0,0,True,False,False,0,0,Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `core_2d_camera_split_screen/main.mbt` (max ~262 lines)
core_3d_camera_first_person,39,Needs Attention,5,14,0,11,9,1,1,1,252,228,1,1,1.0,252,core_3d_camera_first_person/main.mbt,251,fn main {,core_3d_camera_first_person/main.mbt,1,1,14,0,2,1,14.0,0,0,0,True,False,False,0,0,Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `core_3d_camera_first_person/main.mbt` (max ~251 lines)
core_3d_camera_free,53,Needs Attention,6,25,0,11,11,1,1,1,64,57,1,1,1.0,64,core_3d_camera_free/main.mbt,63,fn main {,core_3d_camera_free/main.mbt,0,0,1,0,0,1,1.0,0,0,0,True,False,False,0,0,Add at least one smoke test (README.mbt.md doctest or *_test.mbt)
core_3d_camera_mode,53,Needs Attention,6,25,0,11,11,1,1,1,49,37,1,1,1.0,49,core_3d_camera_mode/main.mbt,48,fn main {,core_3d_camera_mode/main.mbt,0,0,0,0,0,1,0.0,0,0,0,True,False,False,0,0,Add at least one smoke test (README.mbt.md doctest or *_test.mbt)
core_3d_camera_split_screen,44,Needs Attention,5,19,0,11,9,1,1,1,259,236,1,1,1.0,259,core_3d_camera_split_screen/main.mbt,258,fn main {,core_3d_camera_split_screen/main.mbt,1,1,4,0,1,5,4.0,0,0,0,True,False,False,0,0,Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `core_3d_camera_split_screen/main.mbt` (max ~258 lines)
core_3d_picking,46,Needs Attention,6,20,0,11,9,1,1,1,149,131,1,1,1.0,149,core_3d_picking/main.mbt,148,fn main {,core_3d_picking/main.mbt,1,1,7,0,0,1,7.0,0,0,0,True,False,False,0,0,Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `core_3d_picking/main.mbt` (max ~148 lines)
core_automation_events,37,Needs Attention,5,14,0,11,7,1,1,1,364,343,1,1,1.0,364,core_automation_events/main.mbt,363,fn main {,core_automation_events/main.mbt,1,1,32,0,3,2,32.0,0,0,0,True,False,False,0,1,Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `core_automation_events/main.mbt` (max ~363 lines)
core_basic_screen_manager,50,Needs Attention,6,22,0,11,11,1,1,1,91,86,1,1,1.0,91,core_basic_screen_manager/main.mbt,90,fn main {,core_basic_screen_manager/main.mbt,1,0,4,2,2,1,6.0,0,0,0,True,False,False,0,0,Add at least one smoke test (README.mbt.md doctest or *_test.mbt)
core_basic_window,53,Needs Attention,6,25,0,11,11,1,1,1,27,24,1,1,1.0,27,core_basic_window/main.mbt,26,fn main {,core_basic_window/main.mbt,0,0,0,0,0,1,0.0,0,0,0,True,False,False,0,0,Add at least one smoke test (README.mbt.md doctest or *_test.mbt)
core_clipboard_text,42,Needs Attention,6,16,0,11,9,1,1,1,152,132,1,1,1.0,152,core_clipboard_text/main.mbt,151,fn main {,core_clipboard_text/main.mbt,1,1,10,0,0,1,10.0,0,0,0,True,False,False,0,0,Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `core_clipboard_text/main.mbt` (max ~151 lines)
core_compute_hash,45,Needs Attention,6,19,0,11,9,1,1,1,201,175,4,4,1.0,201,core_compute_hash/main.mbt,163,fn main {,core_compute_hash/main.mbt,1,1,2,0,5,1,0.5,0,0,0,True,False,False,0,0,Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `core_compute_hash/main.mbt` (max ~163 lines)
core_custom_frame_control,42,Needs Attention,6,16,0,11,9,1,1,1,152,132,1,1,1.0,152,core_custom_frame_control/main.mbt,151,fn main {,core_custom_frame_control/main.mbt,1,1,10,0,1,1,10.0,0,0,0,True,False,False,0,0,Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `core_custom_frame_control/main.mbt` (max ~151 lines)
core_directory_files,51,Needs Attention,6,23,0,11,11,1,1,1,86,85,2,2,1.0,86,core_directory_files/main.mbt,75,fn main {,core_directory_files/main.mbt,0,0,1,0,1,1,0.5,0,0,0,True,False,False,0,0,Add at least one smoke test (README.mbt.md doctest or *_test.mbt)
core_drop_files,53,Needs Attention,6,25,0,11,11,1,1,1,66,63,1,1,1.0,66,core_drop_files/main.mbt,65,fn main {,core_drop_files/main.mbt,0,0,3,0,2,1,3.0,0,0,0,True,False,False,0,0,Add at least one smoke test (README.mbt.md doctest or *_test.mbt)
core_input_gamepad,39,Needs Attention,5,14,0,11,9,1,1,1,290,277,1,1,1.0,290,core_input_gamepad/main.mbt,289,fn main {,core_input_gamepad/main.mbt,1,1,19,0,1,1,19.0,0,0,0,True,False,False,0,0,Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `core_input_gamepad/main.mbt` (max ~289 lines)
core_input_gamepad_info,51,Needs Attention,6,23,0,11,11,1,1,1,72,70,1,1,1.0,72,core_input_gamepad_info/main.mbt,71,fn main {,core_input_gamepad_info/main.mbt,0,0,2,0,3,1,2.0,0,0,0,True,False,False,0,0,Add at least one smoke test (README.mbt.md doctest or *_test.mbt)
core_input_gestures,42,Needs Attention,6,16,0,11,9,1,1,1,128,125,1,1,1.0,128,core_input_gestures/main.mbt,127,fn main {,core_input_gestures/main.mbt,1,1,18,0,1,1,18.0,0,0,0,True,False,False,0,0,Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `core_input_gestures/main.mbt` (max ~127 lines)
core_input_keys,53,Needs Attention,6,25,0,11,11,1,1,1,55,52,1,1,1.0,55,core_input_keys/main.mbt,54,fn main {,core_input_keys/main.mbt,0,0,4,0,0,1,4.0,0,0,0,True,False,False,0,0,Add at least one smoke test (README.mbt.md doctest or *_test.mbt)
core_input_mouse,52,Needs Attention,6,24,0,11,11,1,1,1,46,43,1,1,1.0,46,core_input_mouse/main.mbt,45,fn main {,core_input_mouse/main.mbt,0,0,7,0,0,1,7.0,0,0,0,True,False,False,0,0,Add at least one smoke test (README.mbt.md doctest or *_test.mbt)
core_input_mouse_wheel,53,Needs Attention,6,25,0,11,11,1,1,1,44,41,1,1,1.0,44,core_input_mouse_wheel/main.mbt,43,fn main {,core_input_mouse_wheel/main.mbt,0,0,0,0,0,1,0.0,0,0,0,True,False,False,0,0,Add at least one smoke test (README.mbt.md doctest or *_test.mbt)
core_input_multitouch,53,Needs Attention,6,25,0,11,11,1,1,1,53,50,1,1,1.0,53,core_input_multitouch/main.mbt,52,fn main {,core_input_multitouch/main.mbt,0,0,2,0,4,1,2.0,0,0,0,True,False,False,0,0,Add at least one smoke test (README.mbt.md doctest or *_test.mbt)
core_input_virtual_controls,48,Needs Attention,6,20,0,11,11,1,1,1,113,100,1,1,1.0,113,core_input_virtual_controls/main.mbt,112,fn main {,core_input_virtual_controls/main.mbt,1,0,6,1,2,1,7.0,0,0,0,True,False,False,0,0,Add at least one smoke test (README.mbt.md doctest or *_test.mbt)
core_random_sequence,49,Needs Attention,6,21,0,11,11,1,1,1,209,195,4,4,1.0,209,core_random_sequence/main.mbt,115,fn main {,core_random_sequence/main.mbt,1,0,4,0,3,1,1.0,0,0,0,True,False,False,0,0,Add at least one smoke test (README.mbt.md doctest or *_test.mbt)
core_random_values,53,Needs Attention,6,25,0,11,11,1,1,1,38,32,1,1,1.0,38,core_random_values/main.mbt,37,fn main {,core_random_values/main.mbt,0,0,1,0,0,1,1.0,0,0,0,True,False,False,0,0,Add at least one smoke test (README.mbt.md doctest or *_test.mbt)
core_scissor_test,51,Needs Attention,6,23,0,11,11,1,1,1,74,63,1,1,1.0,74,core_scissor_test/main.mbt,73,fn main {,core_scissor_test/main.mbt,0,0,3,0,0,1,3.0,0,0,0,True,False,False,0,0,Add at least one smoke test (README.mbt.md doctest or *_test.mbt)
core_smooth_pixelperfect,47,Needs Attention,6,21,0,11,9,1,1,1,143,121,2,2,1.0,143,core_smooth_pixelperfect/main.mbt,137,fn main {,core_smooth_pixelperfect/main.mbt,1,1,0,0,0,1,0.0,0,0,0,True,False,False,0,0,Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `core_smooth_pixelperfect/main.mbt` (max ~137 lines)
core_storage_values,53,Needs Attention,6,25,0,11,11,1,1,1,77,75,3,3,1.0,77,core_storage_values/main.mbt,39,fn main {,core_storage_values/main.mbt,0,0,5,0,1,1,1.6666666666666667,0,0,0,True,False,False,0,0,Add at least one smoke test (README.mbt.md doctest or *_test.mbt)
core_vr_simulator,45,Needs Attention,6,19,0,11,9,1,1,1,171,156,2,2,1.0,171,core_vr_simulator/main.mbt,157,fn main {,core_vr_simulator/main.mbt,1,1,0,1,3,1,0.5,0,0,0,True,False,False,0,0,Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `core_vr_simulator/main.mbt` (max ~157 lines)
core_window_flags,37,Needs Attention,5,14,0,11,7,1,1,1,302,275,1,1,1.0,302,core_window_flags/main.mbt,301,fn main {,core_window_flags/main.mbt,1,1,39,0,0,1,39.0,0,0,0,True,False,False,0,1,Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `core_window_flags/main.mbt` (max ~301 lines)
core_window_letterbox,47,Needs Attention,6,19,0,11,11,1,1,1,164,152,2,2,1.0,164,core_window_letterbox/main.mbt,154,fn main {,core_window_letterbox/main.mbt,1,1,2,0,5,1,1.0,1,0,0,True,False,False,0,0,Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `core_window_letterbox/main.mbt` (max ~154 lines)
